year,sacramento_avg_temp,global_avg_temp,sacramento_10_year_MA,global_10_year_MA
1849,14.12,7.98,,
1850,13.8,7.9,,
1851,14.39,8.18,,
1852,13.81,8.1,,
1853,14.4,8.04,,
1854,13.98,8.21,,
1855,14.2,8.11,,
1856,14.1,8,,
1857,14.78,7.76,,
1858,14.19,8.1,14.177,8.038
1859,13.71,8.25,14.136,8.065
1860,13.81,7.96,14.137,8.071
1861,14.88,7.85,14.186,8.038
1862,14.43,7.56,14.248,7.984
1863,14.43,8.11,14.251,7.991
1864,15.18,7.98,14.371,7.968
1865,14.32,8.18,14.383,7.975
1866,14.67,8.29,14.44,8.004
1867,14.46,8.44,14.408,8.072
1868,14.25,8.25,14.414,8.087
1869,14.57,8.43,14.5,8.105
1870,14.19,8.2,14.538,8.129
1871,14.34,8.12,14.484,8.156
1872,14.63,8.19,14.504,8.219
1873,14.46,8.35,14.507,8.243
1874,14.09,8.43,14.398,8.288
1875,14.76,7.86,14.442,8.256
1876,14.44,8.08,14.419,8.235
1877,15.03,8.54,14.476,8.245
1878,14.37,8.83,14.488,8.303
1879,14.2,8.17,14.451,8.277
1880,13.22,8.12,14.354,8.269
1881,14.39,8.27,14.359,8.284
1882,13.58,8.13,14.254,8.278
1883,13.93,7.98,14.201,8.241
1884,14.05,7.77,14.197,8.175
1885,15.05,7.92,14.226,8.181
1886,14.58,7.95,14.24,8.168
1887,14.38,7.91,14.175,8.105
1888,14.7,8.09,14.208,8.031
1889,14.81,8.32,14.269,8.046
1890,14.05,7.97,14.352,8.031
1891,14.46,8.02,14.359,8.006
1892,14.05,8.07,14.406,8
1893,13.4,8.06,14.353,8.008
1894,13.8,8.16,14.328,8.047
1895,13.95,8.15,14.218,8.07
1896,14.22,8.21,14.182,8.096
1897,13.81,8.29,14.125,8.134
1898,13.77,8.18,14.032,8.143
1899,14.04,8.4,13.955,8.151
1900,14.64,8.5,14.014,8.204
1901,14.34,8.54,14.002,8.256
1902,14.07,8.3,14.004,8.279
1903,14.12,8.22,14.076,8.295
1904,14.5,8.09,14.146,8.288
1905,14.39,8.23,14.19,8.296
1906,14.81,8.38,14.249,8.313
1907,14.34,7.95,14.302,8.279
1908,14.01,8.19,14.326,8.28
1909,14.05,8.18,14.327,8.258
1910,14.17,8.22,14.28,8.23
1911,13.46,8.18,14.192,8.194
1912,13.95,8.17,14.18,8.181
1913,14.38,8.3,14.206,8.189
1914,14.33,8.59,14.189,8.239
1915,14.3,8.59,14.18,8.275
1916,13.61,8.23,14.06,8.26
1917,14.06,8.02,14.032,8.267
1918,14.14,8.13,14.045,8.261
1919,13.6,8.38,14,8.281
1920,13.72,8.36,13.955,8.295
1921,14.24,8.57,14.033,8.334
1922,13.61,8.41,13.999,8.358
1923,14.13,8.42,13.974,8.37
1924,14.1,8.51,13.951,8.362
1925,14.34,8.53,13.955,8.356
1926,15.14,8.73,14.108,8.406
1927,14.24,8.52,14.126,8.456
1928,14.32,8.63,14.144,8.506
1929,14.25,8.24,14.209,8.492
1930,14.25,8.63,14.262,8.519
1931,14.93,8.72,14.331,8.534
1932,14.24,8.71,14.394,8.564
1933,13.93,8.34,14.374,8.556
1934,15.31,8.63,14.495,8.568
1935,14.12,8.52,14.473,8.567
1936,15.13,8.55,14.472,8.549
1937,14.36,8.7,14.484,8.567
1938,14.35,8.86,14.487,8.59
1939,14.81,8.76,14.543,8.642
1940,15.12,8.76,14.63,8.655
1941,14.98,8.77,14.635,8.66
1942,14.2,8.73,14.631,8.662
1943,14.72,8.76,14.71,8.704
1944,14.17,8.85,14.596,8.726
1945,14.41,8.58,14.625,8.732
1946,13.83,8.68,14.495,8.745
1947,14.51,8.8,14.51,8.755
1948,13.65,8.75,14.44,8.744
1949,13.9,8.59,14.349,8.727
1950,14.66,8.37,14.303,8.688
1951,14.06,8.63,14.211,8.674
1952,14.11,8.64,14.202,8.665
1953,14.42,8.87,14.172,8.676
1954,14.18,8.56,14.173,8.647
1955,13.74,8.63,14.106,8.652
1956,14.08,8.28,14.131,8.612
1957,14.59,8.73,14.139,8.605
1958,15.41,8.77,14.315,8.607
1959,15.39,8.73,14.464,8.621
1960,14.59,8.58,14.457,8.642
1961,14.65,8.8,14.516,8.659
1962,14.22,8.75,14.527,8.67
1963,14.19,8.86,14.504,8.669
1964,14.24,8.41,14.51,8.654
1965,14.14,8.53,14.55,8.644
1966,14.74,8.6,14.616,8.676
1967,14.5,8.7,14.607,8.673
1968,14.66,8.52,14.532,8.648
1969,14.51,8.6,14.444,8.635
1970,14.76,8.7,14.461,8.647
1971,13.89,8.6,14.385,8.627
1972,14.25,8.5,14.388,8.602
1973,14.58,8.95,14.427,8.611
1974,14.41,8.47,14.444,8.617
1975,13.82,8.74,14.412,8.638
1976,14.72,8.35,14.41,8.613
1977,14.63,8.85,14.423,8.628
1978,14.96,8.69,14.453,8.645
1979,14.99,8.73,14.501,8.658
1980,14.74,8.98,14.499,8.686
1981,15.22,9.17,14.632,8.743
1982,14,8.64,14.607,8.757
1983,15.07,9.03,14.656,8.765
1984,14.97,8.69,14.712,8.787
1985,14.23,8.66,14.753,8.779
1986,15,8.83,14.781,8.827
1987,14.95,8.99,14.813,8.841
1988,15.08,9.2,14.825,8.892
1989,14.45,8.92,14.771,8.911
1990,14.73,9.23,14.77,8.936
1991,14.5,9.18,14.698,8.937
1992,15.53,8.84,14.851,8.957
1993,14.97,8.87,14.841,8.941
1994,14.21,9.04,14.765,8.976
1995,15.31,9.35,14.873,9.045
1996,15.56,9.04,14.929,9.066
1997,15.75,9.2,15.009,9.087
1998,14.38,9.52,14.939,9.119
1999,14.41,9.29,14.935,9.156
2000,15.02,9.2,14.964,9.153
2001,15.25,9.41,15.039,9.176
2002,15,9.57,14.986,9.249
2003,15.43,9.53,15.032,9.315
2004,15.37,9.32,15.148,9.343
2005,15.17,9.7,15.134,9.378
2006,15.02,9.53,15.08,9.427
2007,14.94,9.73,14.999,9.48
2008,15.05,9.43,15.066,9.471
2009,15.02,9.51,15.127,9.493
2010,14.67,9.7,15.092,9.543
2011,14.5,9.52,15.017,9.554
2012,15.05,9.51,15.022,9.548
2013,16.23,9.61,15.102,9.556
